Location,Country,Temperature,CO2Emissions ,SeaLevelRise ,Precipitation ,Humidity ,Windspeed 
New Williamtown,Latvia,10.688986,403.1189,0.71750605,13.835237,23.631256,18.492025
North Rachel,South Africa,13.81443,396.6635,1.2057146,40.974083,43.982944,34.2493
West Williamland,French Guiana,27.323717,451.55316,-0.16078296,42.697933,96.6526,34.12426
South David,Vietnam,12.309581,422.40497,-0.47593147,5.1933413,47.467937,8.5545635
New Scottburgh,Moldova,13.210885,410.473,1.1357566,78.69528,61.789673,8.0011635
South Nathan,Saint Helena,6.229326,392.47333,1.1222097,76.36833,48.973885,30.398909
Port Richardfurt,Tuvalu,21.646738,387.64844,0.05847124,9.650389,11.402285,15.720943
Adambury,Australia,19.7308,448.18027,0.001415079,93.360756,21.52635,29.993496
Williamsonberg,Qatar,19.858114,379.6188,0.58488065,6.2188463,30.861948,37.519474
North Thomas,Chad,14.121563,410.51706,-1.7122242,15.351583,88.42279,47.92252
West Jillton,Fiji,6.095003,360.8112,-0.9350594,95.46177,28.932545,20.888342
Robertville,Guernsey,12.287065,488.35593,0.021368053,11.838236,90.04034,30.43541
Camposfort,Egypt,22.324533,445.20895,-1.0288023,48.77876,83.40625,1.833402
Hughesville,Rwanda,15.788181,373.3413,-2.0615358,13.361683,56.944885,23.386007
Adammouth,Samoa,17.060978,503.45087,1.2818698,80.918945,24.79689,17.094477
East Ricardomouth,Mongolia,7.1640863,447.6232,-0.08466048,89.80802,96.88787,32.026836
Port Robertborough,Equatorial Guinea,14.799344,396.9978,-1.0867897,23.288765,37.69559,41.688416
South Natalieshire,Libyan Arab Jamahiriya,2.2288585,348.10428,-0.030618347,64.63697,21.772003,46.22846
Zacharyborough,Libyan Arab Jamahiriya,16.901894,359.17175,-0.1350399,15.5126095,84.10308,25.939785
Bakerburgh,Mali,10.874589,415.60864,1.2183139,57.99068,15.764407,10.098797
Devinchester,Cocos (Keeling) Islands,13.818428,343.25327,0.5417702,14.361388,8.285308,13.802637
Thompsonburgh,Bahrain,10.026932,325.31158,0.6559375,49.146873,47.72896,27.800184
East Darlene,French Southern Territories,21.08215,421.3043,0.23696294,95.566284,87.70153,34.050236
North Ericchester,Iceland,3.940121,352.76074,0.7980831,1.9990654,14.404549,8.34631
West Annaview,Bahrain,12.942742,350.06622,0.39600837,78.50205,17.556967,11.859019
Bartonhaven,Tajikistan,17.232979,353.09308,-2.232079,48.077976,3.9254518,40.5203
Lake David,Norfolk Island,21.221037,352.00885,1.4567393,98.95365,72.91148,27.889608
Angelicaview,Libyan Arab Jamahiriya,19.059126,411.73312,0.6109108,37.62046,82.607155,30.35893
Alexischester,Bosnia and Herzegovina,15.556628,397.71432,-1.5351814,98.782845,85.46322,43.558018
Williambury,Reunion,8.940555,398.0278,-0.7336005,41.271328,7.689676,43.446415
Amandaville,Ethiopia,17.120783,458.62366,-0.2691909,56.930687,27.748617,10.272521
Lake Glennmouth,Spain,11.050276,404.93164,0.7168909,18.452435,48.609222,24.62773
Wagnerbury,Italy,9.442614,370.56107,-1.251963,86.96689,83.435814,8.07613
Christopherside,Andorra,14.112278,415.02725,-0.30487198,69.13522,3.8510535,31.51595
Hoffmanborough,Gibraltar,7.8948684,447.05344,-0.23451006,49.216568,46.006336,49.959644
Gordonfort,Monaco,19.797186,481.7501,-0.16316679,76.04414,37.168148,47.55327
New Bobhaven,Comoros,17.937819,458.0538,-0.024024425,5.9627542,43.890377,49.459095
West Jeffrey,British Indian Ocean Territory (Chagos Archipelago),14.895743,474.31808,0.030541452,46.626747,2.6469455,20.247608
Duncanmouth,Czech Republic,13.526821,446.96042,0.43735692,42.72974,5.076456,39.37965
Fieldsside,Iran,20.7414,446.40204,-0.03823612,88.337685,44.07013,45.1649
Emmafort,Antigua and Barbuda,12.290429,321.1355,-0.44503862,74.7775,58.7286,16.642656
East Davidshire,Seychelles,11.74021,459.71396,1.1792145,88.06952,87.41136,19.33378
Port Austinchester,Slovenia,10.32527,354.53494,0.12392997,31.03894,36.506153,13.346576
North Bryan,Gabon,7.511291,379.73065,1.986905,34.075333,82.34076,15.983443
Stewartbury,India,13.863784,408.12186,-0.078811064,77.49866,31.356005,26.264122
North Ryan,Chad,9.026525,391.43958,0.13598059,25.378105,17.504465,25.666674
West Micheleland,Congo,19.859165,316.21313,0.8367186,90.84696,7.65442,13.056319
Lisaview,Tunisia,21.112886,499.08728,0.52501595,58.897457,28.703749,18.70589
Reynoldsberg,Reunion,9.086153,382.4685,-0.67968804,36.86085,25.256477,26.707504
Wandamouth,Norfolk Island,17.661108,480.2909,-0.016169816,42.832035,96.212135,29.268444
Port Leah,Costa Rica,17.747515,381.38364,1.2446575,44.805935,61.91781,16.40162
Anthonyside,Cuba,12.149005,332.1869,1.4503447,92.71172,3.026367,12.467612
North Brian,Grenada,11.522546,462.29214,-0.605965,44.774837,38.10825,32.2686
Butlerburgh,Suriname,23.483025,376.20547,1.4454737,7.744925,96.27866,29.19907
